year,sprint,area,issues_total,issues_total_closed,issues_status_to_do,issues_status_in_progress
2023,56,app security,6,6,,
2023,56,cloud security,7,6,,
2023,56,corporate,5,4,,
2023,56,data batch,10,7,,
2023,56,data streaming,5,3,,
2023,56,data tools,16,10,,
2023,56,endpoint protection,2,2,,
2023,56,incident response,14,9,,
2023,56,integration,12,10,,
2023,56,observability,8,7,,
2023,56,platform,24,12,,
2023,56,tools,18,15,,
2023,57,app security,5,4,,
2023,57,cloud security,12,11,,
2023,57,corporate,3,2,,
2023,57,data batch,12,12,,
2023,57,data streaming,5,4,,
2023,57,data tools,18,15,,
2023,57,endpoint protection,2,2,,
2023,57,incident response,16,16,,
2023,57,integration,11,10,,
2023,57,observability,5,4,,
2023,57,platform,29,23,,
2023,57,tools,18,13,,
2023,58,app security,8,7,,
2023,58,cloud security,8,7,,
2023,58,corporate,7,5,,
2023,58,data batch,9,8,,
2023,58,data streaming,14,11,,
2023,58,data tools,20,14,,
2023,58,endpoint protection,5,5,,
2023,58,incident response,9,9,,
2023,58,integration,6,5,,
2023,58,observability,8,5,,
2023,58,platform,26,19,,
2023,58,tools,23,20,,
2023,59,app security,6,6,,
2023,59,cloud security,8,8,,
2023,59,corporate,3,2,,
2023,59,data batch,8,7,,
2023,59,data streaming,7,4,,
2023,59,data tools,14,12,,
2023,59,endpoint protection,3,3,,
2023,59,incident response,12,10,,
2023,59,integration,12,11,,
2023,59,observability,11,9,,
2023,59,platform,20,16,,
2023,59,tools,23,20,,
2023,60,app security,2,2,,
2023,60,cloud security,11,9,,
2023,60,corporate,1,0,,
2023,60,data batch,7,5,,
2023,60,data streaming,4,2,,
2023,60,data tools,10,5,,
2023,60,endpoint protection,2,2,,
2023,60,incident response,9,9,,
2023,60,integration,5,4,,
2023,60,observability,7,5,,
2023,60,platform,9,4,,
2023,60,tools,9,8,,
2023,61,app security,4,4,,
2023,61,cloud security,13,11,,
2023,61,corporate,2,1,,
2023,61,data batch,8,6,,
2023,61,data streaming,2,1,,
2023,61,data tools,23,17,,
2023,61,endpoint protection,5,5,,
2023,61,incident response,14,12,,
2023,61,integration,7,6,,
2023,61,observability,6,4,,
2023,61,platform,15,11,,
2023,61,tools,9,7,,
2023,62,app security,11,9,,
2023,62,cloud security,15,12,,
2023,62,corporate,4,3,,
2023,62,data batch,8,7,,
2023,62,data streaming,1,0,,
2023,62,data tools,15,15,,
2023,62,endpoint protection,6,6,,
2023,62,incident response,8,7,,
2023,62,integration,6,6,,
2023,62,observability,5,3,,
2023,62,platform,23,17,,
2023,62,tools,18,17,,
2023,63,app security,15,13,,
2023,63,cloud security,13,11,,
